id;id_commune;libelle_commune_min;libelle_commune_maj;id_departement;id_region;actual;epsg4326_lat;epsg4326_long;codes_postaux;id_commune_actuel
29249;2B236;Poggio-di-Nazza;POGGIO-DI-NAZZA;2B;94;1;42.05247087244236; 9.292822552935057;20240;
29250;2B238;Poggio-di-Venaco;POGGIO-DI-VENACO;2B;94;1;42.26869623430797; 9.20597567484735;20250;
29251;2B307;Santa-Lucia-di-Moriani;SANTA-LUCIA-DI-MORIANI;2B;94;1;42.38414916300285; 9.510667459100933;20230;
29252;2B353;Ville-di-Pietrabugno;VILLE-DI-PIETRABUGNO;2B;94;1;42.71599069190341; 9.427401374009422;20200;
29253;30046;Boucoiran-et-Nozières;BOUCOIRAN-ET-NOZIÈRES;30;76;1;43.994309653618615; 4.178506256164352;30190;
29254;30069;Carnas;CARNAS;30;76;1;43.82749853069203; 3.9912180028144175;30260;
29255;30095;Corconne;CORCONNE;30;76;1;43.87242234637073; 3.9403059457814913;30260;
29256;30105;Dourbies;DOURBIES;30;76;1;44.063696730607866; 3.479897175087723;30750;
29257;30109;Euzet;EUZET;30;76;1;44.07361185355134; 4.235915612812774;30360;
29258;30128;Générac;GÉNÉRAC;30;76;1;43.72381628466691; 4.359106070382716;30510;
29259;30219;Rogues;ROGUES;30;76;1;43.878860343892335; 3.561094303051592;30120;
29260;30233;Saint-Bauzély;SAINT-BAUZÉLY;30;76;1;43.92174578163945; 4.192329388147409;30730;
29261;30234;Saint-Bénézet;SAINT-BÉNÉZET;30;76;1;43.99088390587639; 4.136024083446246;30350;
29262;76462;Neufchâtel-en-Bray;NEUFCHÂTEL-EN-BRAY;76;28;1;49.739990337215055; 1.4465277161646395;76270;
29263;30254;Saint-Geniès-de-Comolas;SAINT-GENIÈS-DE-COMOLAS;30;76;1;44.065708147798084; 4.731038346678336;30150;
29264;30258;Saint-Gilles;SAINT-GILLES;30;76;1;43.657805333397505; 4.407427118296244;30800;
29265;30262;Saint-Hippolyte-de-Montaigu;SAINT-HIPPOLYTE-DE-MONTAIGU;30;76;1;44.03294389476904; 4.494552237348575;30700;
29266;30320;Seynes;SEYNES;30;76;1;44.11229554060985; 4.294138718101514;30580;
29267;30325;Sumène;SUMÈNE;30;76;1;43.988583796850506; 3.7322172778247467;30440;
29268;30333;Uchaud;UCHAUD;30;76;1;43.75885905749426; 4.264797170760644;30620;
29269;30343;Verfeuil;VERFEUIL;30;76;1;44.16579256915394; 4.4484507863270775;30630;
29270;30347;Vestric-et-Candiac;VESTRIC-ET-CANDIAC;30;76;1;43.73591834020842; 4.264341879312722;30600;
29271;31001;Agassac;AGASSAC;31;76;1;43.37236907938709; 0.8860333870257737;31230;
29272;31029;Aurin;AURIN;31;76;1;43.53575141158978; 1.6821861991072449;31570;
29273;31097;Le Cabanial;LE CABANIAL;31;76;1;43.5216088541293; 1.869219324156938;31460;
29274;31105;Caragoudes;CARAGOUDES;31;76;1;43.50076650802451; 1.7139790126621932;31460;
29275;31128;Caujac;CAUJAC;31;76;1;43.294876582563724; 1.4576244098901496;31190;
29276;31182;Fenouillet;FENOUILLET;31;76;1;43.68432786458967; 1.3905713888128794;31150;
29277;31198;Le Fréchet;LE FRÉCHET;31;76;1;43.18988964728755; 0.9323447543966393;31360;
29278;31215;Gauré;GAURÉ;31;76;1;43.61722225948208; 1.6370241461414128;31590;
29279;71236;Igé;IGÉ;71;27;1;46.4052056189024; 4.734950345891724;71960;
29280;71257;Lessard-le-National;LESSARD-LE-NATIONAL;71;27;1;46.873150982794854; 4.846440944602173;71530;
29281;71267;Lugny;LUGNY;71;27;1;46.48089258671675; 4.819110168461888;71260;
29282;71273;Maltat;MALTAT;71;27;1;46.67512916400499; 3.8089983268048933;71140;
29283;71319;Montret;MONTRET;71;27;1;46.683268428516506; 5.113131358530368;71440;
29284;71380;Saillenard;SAILLENARD;71;27;1;46.69765855031126; 5.3719764883969665;71580;
29285;71400;Saint-Clément-sur-Guye;SAINT-CLÉMENT-SUR-GUYE;71;27;1;46.61321792905627; 4.586202539766893;71460;
29286;71543;Tournus;TOURNUS;71;27;1;46.56530393001676; 4.89937222436073;71700;
29287;71588;Vitry-en-Charollais;VITRY-EN-CHAROLLAIS;71;27;1;46.461455595448754; 4.0595597969428825;71600;
29288;72012;Assé-le-Riboul;ASSÉ-LE-RIBOUL;72;52;1;48.20286763253256; 0.07916295118917632;72170;
29289;72041;Bouër;BOUËR;72;52;1;48.07610464791291; 0.6327424299638037;72390;
29290;72057;Champrond;CHAMPROND;72;52;1;48.08291108187121; 0.7470700592280569;72320;
29291;72147;La Guierche;LA GUIERCHE;72;52;1;48.11885590422023; 0.20132677959895828;72380;
29292;77161;Dormelles;DORMELLES;77;11;1;48.31343947372149; 2.8895686920167956;77130;
29293;77226;Héricy;HÉRICY;77;11;1;48.441915654691606; 2.7886476818122024;77850;
29294;77284;Meaux;MEAUX;77;11;1;48.95686106396778; 2.9000608653925877;77100;
29295;77389;La Rochette;LA ROCHETTE;77;11;1;48.50643128968704; 2.659248187605647;77000;
29296;77428;Saint-Ouen-en-Brie;SAINT-OUEN-EN-BRIE;77;11;1;48.56555638873939; 2.9200957797828506;77720;
29297;77454;Sognolles-en-Montois;SOGNOLLES-EN-MONTOIS;77;11;1;48.518703504412485; 3.1531020510539154;77520;
29298;77476;Trocy-en-Multien;TROCY-EN-MULTIEN;77;11;1;49.04245192663721; 2.9621059137000603;77440;
29299;77489;Vaux-sur-Lunain;VAUX-SUR-LUNAIN;77;11;1;48.21649481751753; 2.9568811018892136;77710;
29300;77498;Vignely;VIGNELY;77;11;1;48.931869345901816; 2.8155841342985584;77450;
